player_id,estimate_a,se_a,n_a,games_a,information_a,estimate_b,se_b,n_b,games_b,information_b
457705,-0.0840785199141326,0.0807929478894599,978,133,140.0927230123567,0.2865316581438288,0.1310747355455314,157,35,24.241930601217184
467793,0.0055484123869044,0.1069296677519006,842,122,104.99336087154876,0.0043300706539358,0.2362913184566188,54,8,7.070759406568742
500743,-0.177342764834496,0.1095996100454253,488,108,53.075625968188305,-0.4019186429725065,0.1344269445633276,397,94,51.20534798581053
502054,-0.1847227834068082,0.1493001899525652,715,115,99.5967352547686,0.0859554764913497,0.2542238754351942,45,12,7.025109327961217
502671,0.0345981687138965,0.0692872617005161,988,137,135.92887965286545,-0.1101622073764986,0.0850490667120389,694,97,108.1392701460618
514888,0.0593546286357019,0.0618501927057968,1070,153,162.5828213649335,-0.0098693448770912,0.0862422116025847,888,129,142.12113284887192
516782,0.0412911030397758,0.0934340046583794,605,95,80.85410919196016,0.1874274969483683,0.1267409521968885,336,55,48.23930616589884
518595,-0.0587769931538222,0.1204344693878324,459,67,48.779339255084025,-0.1072283360488411,0.2818746656876387,151,30,16.975473999920197
518692,0.0140115475610609,0.0684939112158044,1211,146,149.50444391708072,0.0478497760836174,0.0548970715491289,1302,148,233.3682264294311
519317,0.0742102160077635,0.1258208659785472,495,76,59.12910335723236,0.0872782907903378,0.1941701798022068,172,24,30.790591820545355
521692,-0.0631394672996464,0.0690668344280918,1277,154,160.58601743543528,0.0195194404273262,0.071342540523471,1245,146,195.6984451338936
542303,0.0860253543791987,0.0910395134859313,1011,143,156.88060338164476,0.1114723416606251,0.1027928331753939,522,69,80.53179470726499
543309,0.1468651078512525,0.0890062856735353,568,92,82.95799246025902,0.0586120504965795,0.1276646125291907,326,53,43.557333454374465
543510,0.0224570722984877,0.1292829180766624,241,38,30.36505336292089,0.0484879070893339,0.1880608364154889,273,42,30.209562171210052
543760,-0.116179202920632,0.0963473070481248,966,127,151.81216474949565,-0.0440616509834913,0.0674562428768139,965,134,137.35072288386863
543807,0.0813278850938517,0.0866140973499819,1025,136,145.69757646387802,0.0921963153787086,0.077233891108077,933,120,161.15602340715753
543877,0.0822784570753933,0.1272055085744892,349,62,42.1110015896527,-0.0074520179376011,0.0985148618645692,468,82,68.00933914133296
